user_id,age,income,category,signup_date,is_active,score
1,39,73106.88,B,2020-01-01 00:00:00,True,66.02569000541024
2,33,57659.88,A,2020-01-01 01:00:00,True,59.061813343827765
3,41,37414.56,A,2020-01-01 02:00:00,False,84.55458128157184
4,50,26279.16,A,2020-01-01 03:00:00,True,27.80833665290414
5,32,51488.39,C,2020-01-01 04:00:00,True,68.88849859680198
6,32,44211.61,D,2020-01-01 05:00:00,True,67.19661305601092
7,50,56817.33,A,2020-01-01 06:00:00,True,35.39931742959448
8,42,49890.5,D,2020-01-01 07:00:00,True,65.10700004709739
9,30,61376.13,B,2020-01-01 08:00:00,True,55.042174445393435
10,40,27788.63,A,2020-01-01 09:00:00,True,46.587856100698886
11,30,70171.47,A,2020-01-01 10:00:00,True,37.64096769542
12,30,40086.7,B,2020-01-01 11:00:00,True,39.21335822826221
13,37,102501.27,C,2020-01-01 12:00:00,True,80.74718143678889
14,18,25729.82,C,2020-01-01 13:00:00,False,50.01024228436224
15,18,86507.11,A,2020-01-01 14:00:00,True,61.73195002297189
16,29,40092.93,A,2020-01-01 15:00:00,True,38.13650927498671
17,24,26220.35,B,2020-01-01 16:00:00,True,38.30220580667542
18,38,28511.34,A,2020-01-01 17:00:00,False,66.22977213874913
19,25,30940.66,A,2020-01-01 18:00:00,True,29.756356826727018
20,20,44895.06,A,2020-01-01 19:00:00,True,43.77179348142093
21,49,47165.49,C,2020-01-01 20:00:00,False,50.51041116608348
22,32,27259.3,D,2020-01-01 21:00:00,False,51.67058902760078
23,35,35875.96,B,2020-01-01 22:00:00,True,47.313600724757656
24,20,105993.73,D,2020-01-01 23:00:00,True,55.937296716438844
25,29,86143.65,A,2020-01-02 00:00:00,False,60.39283633726717
26,36,45168.8,B,2020-01-02 01:00:00,False,61.01956318188995
27,23,37012.16,A,2020-01-02 02:00:00,False,35.2129428699826
28,38,38561.73,B,2020-01-02 03:00:00,True,45.73767353106804
29,28,49353.25,D,2020-01-02 04:00:00,True,67.92144292815406
30,32,21776.87,B,2020-01-02 05:00:00,True,63.419707813608085
31,28,31930.33,A,2020-01-02 06:00:00,False,29.40710822778404
32,53,15767.53,B,2020-01-02 07:00:00,True,55.27219850528302
33,34,44338.63,A,2020-01-02 08:00:00,True,20.326621259377845
34,24,50191.35,C,2020-01-02 09:00:00,False,50.704023530905545
35,43,28521.31,B,2020-01-02 10:00:00,True,78.46650525118966
36,22,79777.23,B,2020-01-02 11:00:00,False,35.78160924096521
37,37,19675.26,B,2020-01-02 12:00:00,True,37.48515431762627
38,18,17462.53,B,2020-01-02 13:00:00,True,61.460446723592895
39,21,40628.53,A,2020-01-02 14:00:00,True,26.85797727185531
40,36,61300.86,B,2020-01-02 15:00:00,False,40.50867455172441
41,42,84285.39,A,2020-01-02 16:00:00,True,58.94661706372629
42,36,28869.99,C,2020-01-02 17:00:00,True,40.48571228465895
43,33,62276.56,C,2020-01-02 18:00:00,False,46.46045019183543
44,31,35622.96,C,2020-01-02 19:00:00,True,61.16278565472552
45,20,33312.45,B,2020-01-02 20:00:00,True,56.32319125304842
46,27,56490.62,B,2020-01-02 21:00:00,True,54.00227594443103
47,30,50320.18,A,2020-01-02 22:00:00,True,44.91316581094942
48,45,16511.36,C,2020-01-02 23:00:00,True,55.55091672903433
49,38,75983.4,A,2020-01-03 00:00:00,True,48.14400979850365
50,18,72406.09,B,2020-01-03 01:00:00,True,56.86708414888677
51,38,26561.52,A,2020-01-03 02:00:00,True,42.54601962323033
52,31,44262.88,A,2020-01-03 03:00:00,True,47.26146538430688
53,28,46491.05,B,2020-01-03 04:00:00,True,35.15063311171979
54,41,41371.06,A,2020-01-03 05:00:00,True,49.474885849906464
55,45,27580.04,C,2020-01-03 06:00:00,True,37.83498704556733
56,44,25956.78,A,2020-01-03 07:00:00,True,33.2893032475701
57,26,35854.45,A,2020-01-03 08:00:00,True,53.87991721783082
58,31,65275.01,B,2020-01-03 09:00:00,True,53.1910966378649
59,38,47657.73,A,2020-01-03 10:00:00,False,61.74310602422859
60,44,30172.7,A,2020-01-03 11:00:00,True,43.53311645637351
61,30,53415.13,C,2020-01-03 12:00:00,False,56.120792702551334
62,33,8740.55,A,2020-01-03 13:00:00,False,58.26196358410495
63,23,64497.57,C,2020-01-03 14:00:00,True,56.67160711747392
64,23,15216.61,A,2020-01-03 15:00:00,True,37.61519475796787
65,43,30296.26,A,2020-01-03 16:00:00,True,52.24045223406783
66,48,20747.17,C,2020-01-03 17:00:00,False,55.46210444081992
67,34,19008.84,A,2020-01-03 18:00:00,True,50.10767700361913
68,45,64887.7,A,2020-01-03 19:00:00,True,18.70283512443373
69,38,28743.0,A,2020-01-03 20:00:00,True,52.4073443596022
70,28,43185.15,A,2020-01-03 21:00:00,False,83.18796559095864
71,38,35473.45,C,2020-01-03 22:00:00,False,44.59941096864526
72,50,46097.8,A,2020-01-03 23:00:00,True,39.07884353217018
73,34,37737.55,C,2020-01-04 00:00:00,True,55.600228395670975
74,50,19120.26,C,2020-01-04 01:00:00,True,54.685673156998575
75,18,59762.49,B,2020-01-04 02:00:00,True,67.89102748124621
76,43,28370.97,D,2020-01-04 03:00:00,False,31.131977661366683
77,35,16675.72,A,2020-01-04 04:00:00,True,60.97070378862489
78,32,29317.57,D,2020-01-04 05:00:00,True,58.85633091877195
79,35,76909.13,A,2020-01-04 06:00:00,True,47.867801945891806
80,18,55554.0,B,2020-01-04 07:00:00,False,55.08030976882535
81,32,30505.86,B,2020-01-04 08:00:00,False,65.44186222397536
82,38,30496.62,A,2020-01-04 09:00:00,True,63.08473070042675
83,49,30920.74,B,2020-01-04 10:00:00,False,32.85471031889407
84,29,102577.51,C,2020-01-04 11:00:00,True,62.30237280133227
85,26,43957.02,A,2020-01-04 12:00:00,True,49.029670924512224
86,29,45027.15,A,2020-01-04 13:00:00,True,51.09311147023273
87,44,60787.64,C,2020-01-04 14:00:00,True,51.097954865025415
88,38,40920.83,B,2020-01-04 15:00:00,True,47.7463551680261
89,29,31903.75,D,2020-01-04 16:00:00,False,67.87561245660598
90,40,32919.65,C,2020-01-04 17:00:00,True,48.74423060226182
91,35,35038.38,D,2020-01-04 18:00:00,True,33.20680807425247
92,44,35645.88,C,2020-01-04 19:00:00,True,44.09705216045407
93,27,52251.02,A,2020-01-04 20:00:00,True,52.68042075215713
94,31,37271.08,A,2020-01-04 21:00:00,False,68.43822176445576
95,31,52382.09,C,2020-01-04 22:00:00,True,59.0464202742325
96,20,34879.05,B,2020-01-04 23:00:00,True,37.24197081879434
97,37,37771.78,A,2020-01-05 00:00:00,False,87.27784875018338
98,37,13371.75,A,2020-01-05 01:00:00,True,53.97162966466969
99,35,57420.91,D,2020-01-05 02:00:00,True,69.13086106998523
100,32,43184.82,B,2020-01-05 03:00:00,True,47.72428349634156
101,20,59814.6,B,2020-01-05 04:00:00,True,58.00038867058174
102,30,8534.5,B,2020-01-05 05:00:00,False,62.59202756777607
103,31,103175.57,A,2020-01-05 06:00:00,False,68.27292067631384
104,26,33867.3,A,2020-01-05 07:00:00,True,65.86052458067337
105,33,63202.01,A,2020-01-05 08:00:00,False,63.08295500109467
106,39,21591.33,A,2020-01-05 09:00:00,True,45.27369903208837
107,53,49334.9,C,2020-01-05 10:00:00,True,41.42380937065908
108,36,21445.97,B,2020-01-05 11:00:00,True,54.989112654862964
109,37,26585.35,C,2020-01-05 12:00:00,True,63.99692108511604
110,34,94562.44,C,2020-01-05 13:00:00,True,46.6591894883509
111,18,33013.07,A,2020-01-05 14:00:00,True,65.9775794857158
112,34,40486.2,B,2020-01-05 15:00:00,False,71.78925118229269
113,35,56108.01,B,2020-01-05 16:00:00,True,36.2551862138987
114,59,46529.46,C,2020-01-05 17:00:00,True,37.4461894430558
115,33,39152.1,A,2020-01-05 18:00:00,True,47.894374116419954
116,38,43585.53,B,2020-01-05 19:00:00,True,54.614190022837946
117,34,120777.8,B,2020-01-05 20:00:00,True,42.131494793494234
118,23,35284.2,A,2020-01-05 21:00:00,True,70.28304018300716
119,46,40156.9,A,2020-01-05 22:00:00,False,56.36100292277677
120,42,61409.95,B,2020-01-05 23:00:00,True,50.59170572361109
121,42,63118.11,C,2020-01-06 00:00:00,True,28.461357141972087
122,25,65743.44,A,2020-01-06 01:00:00,True,30.262762753587392
123,49,49979.35,B,2020-01-06 02:00:00,True,54.2151387542271
124,20,20506.51,A,2020-01-06 03:00:00,True,18.011065607677455
125,40,82183.99,C,2020-01-06 04:00:00,False,65.18956114466107
126,56,20472.29,A,2020-01-06 05:00:00,True,47.627692334415194
